product_name,product_category,product_price,product_description,brand_name,stock_quantity,manufacturer,sku,weight,color
Indoor Grill,Kitchen,2522.81,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Rhyzio,910,Cogilith,0268-6300,82,Purple
Rechargeable Battery Organizer,Home,3741.74,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Youtags,97,Latz,49349-357,92.2,Orange
Oven Mitts,Kitchen,1198.2,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Voonyx,464,Thoughtbridge,48951-4087,39.3,Indigo
Organic Italian Seasoning,Food - Spices,8268.83,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",Meevee,,,51811-376,41.2,Teal
Foot Massager Machine,Health,,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Blogspan,252,Mymm,55319-504,20.8,Teal
Garlic and Herb Cream Cheese,Food - Dairy,4249.36,,Leexo,363,Oyoyo,55648-926,80,Goldenrod
,Fitness,7935.62,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Topiclounge,819,,75862-006,90.8,Teal
Computer Monitor Stand,,3173.55,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",Eayo,993,Topiczoom,62712-575,78.2,Teal
Pork Chops,Food - Meat,875.93,,Feedfish,202,Jayo,67143-2101,45.8,Goldenrod
Spicy Italian Sausage,Food - Meat & Seafood,4199.99,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Jabbersphere,55,Thoughtmix,55154-5033,73.7,Pink
Diced Tomatoes (canned),Food - Canned Goods,547.44,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Edgeclub,496,Roombo,,3.1,Turquoise
Hot Salsa,Food - Dips,8435.4,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Youopia,640,Oozz,49288-0869,27.9,Aquamarine
LED Camping Lantern with USB Charging,Outdoor,849.68,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Thoughtworks,851,Wikizz,49288-0562,19.8,Indigo
Dark Chocolate Covered Raisins,Food - Snacks,2315.13,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Yacero,10,Zoomlounge,52686-260,2.7,Indigo
Spiralizer,Kitchen,4584.63,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Gabvine,419,,49348-482,97.1,Crimson
,Food - Dips,5502.93,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Eayo,73,Edgeblab,42254-019,66.6,Green
Asian Stir-Fry Vegetables,Food - Frozen Foods,633.05,,Dabfeed,527,Rooxo,59535-5401,49.9,Mauv
Self-Cleaning Cat Litter Box,Pets,2398.95,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Babbleblab,791,Nlounge,67692-332,68.9,Purple
Wireless Printer,Office,3496.6,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Dabtype,737,Mynte,0781-2272,97.2,Maroon
Compressed Towel Tablets,,844.01,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Photojam,861,Photospace,57520-0618,63.9,Violet
Classic Caesar Salad Kit,Food - Salads,7054,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Feednation,780,Eayo,24385-462,23.3,Fuscia
Vegetable Potstickers,,6977.61,Fusce consequat. Nulla nisl. Nunc nisl.,Skinix,671,Tanoodle,64942-1074,75.6,Indigo
Kettle Chip Variety Pack,Food - Snacks,7979.06,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Eabox,869,Leenti,63940-069,38.1,Aquamarine
Water Bottle with Built-in Fruit Infuser,Fitness,2818.42,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Wikibox,370,Oyonder,54569-0554,21.7,Red
Pesto Genovese,Food - Condiments,9696.02,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Katz,926,Fiveclub,55315-558,19.2,Fuscia
Caramel Sauce,Food - Condiments,9972.03,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Divape,590,Ooba,17856-1585,1,Goldenrod
Graphic Hoodie,,5989.29,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Innotype,824,Mynte,10237-708,5.3,Green
Portable USB-C Monitor,Electronics,7740.49,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Voolia,132,JumpXS,,67.1,Puce
Denim Jacket,Clothing - Outerwear,3759.23,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",Twitterbeat,840,Skilith,46122-054,10.5,Aquamarine
Smart Scale,Health,7446,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Innojam,631,Innotype,64764-155,50,Pink
Pesto Genovese,Food - Condiments,3776.59,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Thoughtstorm,317,Fliptune,54868-4174,79.3,Violet
Beard Grooming Kit,Grooming,8201.38,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Katz,,Eazzy,35356-499,6.5,Khaki
Basil-infused Olive Oil,Food - Cooking Oil,4571.09,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",BlogXS,915,Youtags,41520-430,41.5,Teal
Bluetooth Tracker,,1685.29,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Avavee,,Devpoint,0374-5070,87.7,Aquamarine
Pesto Pasta Sauce,Food - Sauces,6282.42,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Divanoodle,720,Cogilith,48433-200,84.4,Green
Toasted Coconut Granola,Food - Breakfast,3288.37,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Gigabox,,Tagcat,49884-666,16.4,Puce
Luxury Yoga Mat,,5529.46,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Aimbo,467,Browsedrive,0009-5091,40.4,Red
Multi-Function Meat Tenderizer,Kitchen,1616,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",Jaxbean,608,Meetz,0615-7667,79.4,Purple
White Rice,,9111.29,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Topdrive,263,Quinu,59535-8301,79,Yellow
Chilli Lime Corn on the Cob,Food - Vegetable,7693.91,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",Gigabox,944,Trudeo,35356-299,62.8,Khaki
Organic Tomato Soup,Food - Canned Goods,3189.85,,Zoomzone,943,Gabtune,55312-118,16.2,Crimson
Mango Chunks,Food - Frozen Fruits,9754.34,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Oodoo,313,Demivee,65597-903,79.5,Crimson
Camera Tripod,,1400.98,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",Tazzy,649,Eare,51531-5396,31.3,Maroon
Lemon Pepper Seasoning,,1979.46,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Twimm,370,Shuffledrive,57691-825,81.9,Blue
,Outdoor,5385.76,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Fivechat,278,Katz,16555-006,86.8,Red
Outdoor Inflatable Pool,Outdoor,9228.42,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Kwinu,944,Yakijo,64980-138,47.3,Turquoise
Blue Corn Tortilla Chips,Food - Snacks,3141.4,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Geba,619,Bubbletube,67046-925,3.3,Violet
Sesame Seeds,Food - Baking,5393.74,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Jaxbean,862,Thoughtmix,13537-531,49,Green
Peach Salsa,,109.2,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Skinix,323,Leenti,52125-403,76.5,Mauv
Sweet and Sour Sauce,,,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",Zoomzone,470,Divavu,57664-119,49.6,Orange
Peach Slices (canned),Food - Canned Goods,6306.63,,Kazu,454,Snaptags,0135-0559,51.3,Yellow
Chili Beans in Sauce,,6488.07,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",Edgeblab,963,Dynabox,49999-839,79.2,Aquamarine
Himalayan Salt Grinder,Food - Spices,7832.04,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Tagopia,321,Tagchat,57520-0014,58.9,Orange
Pumpkin Waffles,Food - Breakfast,5814.31,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Buzzdog,240,Topdrive,53113-263,64.4,Violet
Sesame Garlic Noodles,Food - Pasta,884.82,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",Zoovu,617,Livefish,36987-2532,52.4,Blue
Magnetic Phone Car Mount,Automotive,6862.63,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Flipbug,825,Oyoba,49884-659,49,Fuscia
Classic Caesar Dressing,Food - Condiments,6951.27,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Tekfly,,Livetube,64942-1273,17.2,Puce
Self-Cleaning Water Bottle,Fitness,993.48,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Skipfire,646,Buzzshare,63739-931,88.8,Blue
Luxury Bath Salts,Beauty,7729.65,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Livefish,351,Devify,65162-350,39.5,Aquamarine
Mediterranean Couscous Salad,Food - Salads,6252.83,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Fivespan,371,Thoughtstorm,50268-071,56.5,Red
Digital Kitchen Timer,Kitchen,4193.39,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",Yodel,531,Quatz,0363-0430,62.2,Crimson
Pesto Pasta Sauce,Food - Sauces,7800.38,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Fadeo,794,Tambee,53942-406,54.4,Yellow
Personal Safety Alarm,Safety,2134.49,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Linkbridge,341,Dynazzy,42507-072,43.6,Blue
Travel Luggage Scale,Travel,8582.16,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Fadeo,55,Feedfire,67510-0303,54.3,Blue
Travel Pillow with Memory Foam,Travel,8654.82,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Dazzlesphere,729,Tagtune,37205-064,87.7,Teal
Almond Butter Crunch Bar,Food - Snacks,2726.29,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Demimbu,894,Twitterbeat,0363-1600,4.4,Crimson
Basil-infused Olive Oil,Food - Cooking Oil,1199.66,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Skynoodle,985,Meevee,11673-250,85,Fuscia
,,3624,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",Dabshots,554,Realbridge,68084-524,46.8,Violet
Satin Slip Dress,Clothing - Dresses,5482.17,,Tagopia,958,Topicblab,49288-0492,3,Crimson
